iter	RMSE
185	0.3564056185
186	0.3559379677
187	0.3554335422
188	0.3543220938
189	0.3540066429
190	0.3534644593
191	0.3528105894
192	0.3524951663
193	0.3521386369
194	0.3517582839
195	0.3507994782
196	0.3502823453
197	0.3494864981
198	0.3490340063
199	0.3485982691
200	0.348246158
201	0.3477200679
202	0.3471602425
203	0.3463331645
204	0.3458664508
205	0.3453939227
206	0.3448508028
207	0.3441069615
208	0.3435154932
209	0.3432132953
210	0.3427285121
211	0.3418730624
212	0.34140967
213	0.3408950346
214	0.3403907555
215	0.3399816605
216	0.3396356874
217	0.3392066787
218	0.3389155802
219	0.3381241053
220	0.3377155103
221	0.3370955619
222	0.336951804
223	0.3361581328
224	0.3358196677
225	0.3354140845
226	0.335080332
227	0.3347140146
228	0.3343878696
229	0.3340188419
230	0.3337176391
231	0.3330449308
232	0.332140344
233	0.3313676676
234	0.3310562839
235	0.330368389
236	0.3298248299
237	0.3293601036
238	0.3287307802
239	0.3282921966
240	0.3278255096
241	0.3274449049
242	0.3270957477
243	0.326594396
244	0.3262189838
245	0.3256660177
246	0.3254457723
247	0.32494272
248	0.3244747435
249	0.3242302377
250	0.3239741532
251	0.3236676771
252	0.3234356134
253	0.3229535974
254	0.3224384868
255	0.3221615557
256	0.3220306424
257	0.3216434769
258	0.3211935322
259	0.3207964574
260	0.3205157063
261	0.3199873778
262	0.3197508237
263	0.3194476431
264	0.3190972159
265	0.3188256493
266	0.3183484465
267	0.3180717055
268	0.3174574775
269	0.3172525499
270	0.3169414884
271	0.3165723362
272	0.3161137956
273	0.3158574937
274	0.315584123
275	0.3152921782
276	0.3150146475
277	0.3147993783
278	0.3146128966
279	0.3140753883
280	0.3137726897
281	0.3135716351
282	0.3132286391
283	0.3130060838
284	0.3125322856
285	0.3122637857
286	0.3119194352
287	0.3114867232
288	0.3110692968
289	0.3107346458
290	0.3105330006
291	0.3102248642
292	0.309952786
293	0.3097095557
294	0.3095449889
295	0.3091215566
296	0.3089784135
297	0.3087315653
298	0.3085248262
299	0.3081440681
300	0.3075946848
301	0.3074141816
302	0.3071609857
303	0.3067395774
304	0.3064359857
305	0.3062325359
306	0.3060208266
307	0.3058314039
308	0.3055735876
309	0.305207177
310	0.3049927294
311	0.3047986115
312	0.3046343294
313	0.304451391
314	0.304049368
315	0.3038495308
316	0.3035476817
317	0.3034491862
318	0.3032754349
319	0.3026946156
320	0.3022980452
321	0.3020188266
322	0.3018405209
323	0.3016320714
324	0.3014054207
325	0.3010119994
326	0.3008293079
327	0.3004106296
328	0.3001517133
329	0.2999359571
330	0.2995214888
331	0.2993699569
332	0.2990470234
333	0.2988655023
334	0.2986500031
335	0.2984188242
336	0.2981048934
337	0.297920196
338	0.2975634163
339	0.2973770123
340	0.2971518664
341	0.2968219126
342	0.2966223418
343	0.296134616
344	0.2956289442
345	0.2955184305
346	0.2953475095
347	0.2950647423
348	0.2948865338
349	0.2946535656
350	0.2944661132
351	0.2941375347
352	0.2937944993
353	0.2936540063
354	0.2932920706
355	0.2931079587
356	0.2929800777
357	0.2927973193
358	0.2926018137
359	0.2923381578
360	0.2921992753
361	0.2919831713
362	0.2918011933
363	0.2915900125
364	0.2914586298
365	0.2912854521
366	0.2911490024
367	0.2909660849
368	0.2906353919
369	0.2903504411
370	0.2900499406
371	0.2898978935
372	0.2897460014
373	0.2894508754
374	0.2892528315
375	0.2890508744
376	0.2888036242
377	0.2885963445
378	0.2882889327
379	0.2881282414
380	0.2878547172
381	0.2874854023
382	0.2873450807
383	0.2870766246
384	0.2869117452
385	0.2867097023
386	0.2864889306
387	0.2862151444
388	0.286097637
389	0.2858742116
390	0.285703963
391	0.2856130235
392	0.2854436596
393	0.2852651633
394	0.2851420946
395	0.2849755433
396	0.2848291744
397	0.2846217944
398	0.2844398449
399	0.2841512259
400	0.284012264
401	0.2838703101
402	0.2837076208
403	0.283548345
404	0.2833342779
405	0.283128861
406	0.2830177913
407	0.2828771754
408	0.2825903985
409	0.2823978924
410	0.2821852932
411	0.2819522622
412	0.2818016684
413	0.2816298553
414	0.2815038527
415	0.2813446609
416	0.2811111689
417	0.2809865938
418	0.2808916755
419	0.2805487234
420	0.280457024
421	0.280254491
422	0.2801180303
423	0.2800141129
424	0.2798546629
425	0.2795612721
426	0.2791699977
427	0.2790333225
428	0.2788764601
429	0.2786160154
430	0.2783303465
431	0.2780348329
432	0.2779377816
433	0.2777479908
434	0.2776303633
435	0.2773984228
436	0.2772617132
437	0.2770432998
438	0.2769391699
439	0.2767916654
440	0.276654615
441	0.2764476167
442	0.2762863879
443	0.2760466923
444	0.2759542889
445	0.27579024
446	0.2755974807
447	0.2754816566
448	0.2752537776
449	0.2751502265
450	0.2749055214
451	0.2747351468
452	0.2746064176
453	0.2744519051
454	0.2742083811
455	0.273903513
456	0.2737114065
457	0.2736009738
458	0.2734795976
459	0.273381935
460	0.2732677772
461	0.2730182912
462	0.2728946359
463	0.272775568
464	0.2726800221
465	0.272394467
466	0.2720818498
467	0.2719263737
468	0.2717875198
469	0.2716481265
470	0.2715126343
471	0.271354461
472	0.2712139702
473	0.2709661446
474	0.2708576637
475	0.2707654699
476	0.2706845323
477	0.2705695016
478	0.2704670784
479	0.2702670763
480	0.2701686134
481	0.2699882742
482	0.2698423698
483	0.2697442261
484	0.2695093594
485	0.2694057142
486	0.2692916345
487	0.2691550823
488	0.2690045936
489	0.2688887188
490	0.2688083774
491	0.2687090204
492	0.2684852101
493	0.2683495047
494	0.2682041479
495	0.2681016061
496	0.2679011425
497	0.2677083838
498	0.267610558
499	0.2675097393
500	0.2673672424
501	0.2673046397
502	0.2671628838
503	0.2670723332
504	0.2669046001
505	0.2667396322
506	0.2666113946
507	0.2665280565
508	0.2663341309
509	0.2662384243
510	0.2661061603
511	0.2658622101
512	0.2657693042
513	0.2656019079
514	0.2654782325
515	0.2653954299
516	0.2652436016
517	0.2650246481
518	0.2648135481
519	0.2647153614
520	0.2646238161
521	0.2645407932
522	0.2642356059
523	0.2640582387
524	0.2639130666
525	0.2637734353
526	0.263676173
527	0.2635319285
528	0.2634097137
529	0.2631500562
530	0.2630668808
531	0.2628484055
532	0.2627340832
533	0.2626307806
534	0.2623078015
535	0.262156556
536	0.2620555487
537	0.2619763672
538	0.2618894734
539	0.2617817485
