iter	Passed	Remaining
406	5833	8499
407	5843	8478
408	5859	8466
409	5872	8450
410	5884	8433
411	5896	8415
412	5906	8394
413	5921	8382
414	5932	8363
415	5948	8350
416	5961	8334
417	5972	8315
418	5985	8299
419	5996	8281
420	6008	8263
421	6022	8248
422	6036	8233
423	6050	8220
424	6066	8207
425	6079	8191
426	6092	8175
427	6105	8159
428	6118	8144
429	6131	8128
430	6148	8116
431	6159	8099
432	6173	8084
433	6188	8070
434	6199	8052
435	6220	8046
436	6233	8031
437	6246	8014
438	6266	8007
439	6281	7994
440	6297	7982
441	6310	7966
442	6327	7955
443	6342	7942
444	6363	7936
445	6378	7922
446	6394	7911
447	6408	7896
448	6426	7885
449	6445	7877
450	6460	7864
451	6474	7849
452	6488	7835
453	6503	7821
454	6520	7810
455	6536	7798
456	6551	7784
457	6567	7771
458	6583	7760
459	6598	7746
460	6612	7731
461	6636	7728
462	6653	7716
463	6673	7708
464	6697	7705
465	6711	7691
466	6728	7679
467	6751	7674
468	6768	7663
469	6785	7651
470	6800	7638
471	6813	7622
472	6826	7605
473	6842	7592
474	6854	7575
475	6865	7557
476	6878	7542
477	6895	7529
478	6907	7513
479	6922	7498
480	6937	7485
481	6951	7470
482	6964	7454
483	6974	7435
484	6985	7417
485	6999	7402
486	7012	7387
487	7033	7379
488	7047	7364
489	7059	7347
490	7071	7331
491	7083	7314
492	7097	7299
493	7110	7282
494	7125	7269
495	7139	7254
496	7159	7246
497	7172	7230
498	7185	7214
499	7199	7199
500	7214	7186
501	7226	7168
502	7240	7154
503	7254	7139
504	7271	7127
505	7284	7111
506	7294	7093
507	7311	7080
508	7333	7074
509	7346	7058
510	7361	7044
511	7372	7027
512	7384	7010
513	7399	6996
514	7412	6980
515	7424	6963
516	7434	6945
517	7445	6928
518	7462	6916
519	7474	6899
520	7487	6883
521	7496	6864
522	7509	6849
523	7524	6835
524	7539	6821
525	7553	6806
526	7567	6791
527	7584	6779
528	7595	6762
529	7607	6746
530	7620	6730
531	7631	6713
532	7644	6698
533	7657	6682
534	7668	6665
535	7683	6651
536	7694	6634
537	7708	6619
538	7722	6604
539	7733	6588
540	7743	6570
541	7756	6554
542	7771	6540
543	7782	6523
544	7796	6508
545	7809	6493
546	7820	6476
547	7833	6460
548	7843	6443
549	7856	6427
550	7870	6413
551	7896	6408
552	7906	6390
553	7919	6375
554	7931	6359
555	7945	6344
556	7960	6331
557	7972	6315
558	7985	6299
559	7999	6285
560	8011	6268
561	8027	6256
562	8039	6239
563	8052	6224
564	8062	6207
565	8075	6191
566	8089	6177
567	8105	6164
568	8120	6151
569	8133	6135
570	8149	6122
571	8164	6109
572	8177	6094
573	8190	6078
574	8203	6063
575	8215	6047
576	8229	6033
577	8239	6015
578	8252	6000
579	8269	5988
580	8293	5981
581	8305	5965
582	8317	5949
583	8330	5934
584	8342	5918
585	8355	5903
586	8370	5889
587	8385	5875
588	8402	5863
589	8415	5847
590	8429	5833
591	8445	5820
592	8460	5807
593	8474	5792
594	8503	5787
595	8517	5773
596	8532	5759
597	8544	5743
598	8557	5729
599	8572	5715
600	8589	5702
601	8605	5689
602	8617	5673
603	8630	5658
604	8646	5645
605	8665	5633
606	8677	5618
607	8687	5601
608	8701	5586
609	8711	5569
610	8724	5554
611	8739	5540
612	8753	5526
613	8766	5511
614	8779	5496
615	8793	5481
616	8803	5464
617	8822	5453
618	8836	5439
619	8850	5424
620	8863	5409
621	8877	5395
622	8889	5379
623	8904	5365
624	8918	5350
625	8935	5338
626	8946	5322
627	8959	5306
628	8973	5292
629	8984	5276
630	8998	5262
631	9012	5247
632	9027	5233
633	9041	5219
634	9054	5204
635	9067	5189
636	9078	5173
637	9092	5159
638	9107	5145
639	9124	5132
640	9139	5118
641	9149	5101
642	9163	5087
643	9176	5072
644	9204	5065
645	9221	5053
646	9236	5039
647	9252	5025
648	9262	5009
649	9274	4993
650	9285	4977
651	9313	4971
652	9326	4956
653	9343	4943
654	9357	4928
655	9372	4914
656	9386	4900
657	9399	4885
658	9412	4870
659	9429	4857
660	9443	4843
661	9462	4831
662	9476	4816
663	9490	4802
664	9506	4788
665	9523	4775
666	9540	4763
667	9558	4750
668	9575	4737
669	9590	4723
670	9607	4710
671	9625	4697
672	9640	4684
673	9658	4671
674	9674	4658
675	9690	4644
676	9710	4632
677	9729	4620
678	9748	4608
679	9761	4593
680	9779	4581
681	9794	4566
682	9814	4555
683	9845	4548
684	9859	4534
685	9874	4519
686	9888	4505
687	9912	4495
688	9927	4481
689	9946	4468
690	9962	4455
691	9984	4443
692	10011	4435
693	10026	4420
694	10041	4406
695	10061	4394
696	10098	4389
697	10123	4379
698	10148	4369
699	10171	4359
700	10187	4345
701	10204	4331
702	10222	4318
703	10235	4303
704	10248	4288
705	10277	4280
706	10297	4267
707	10322	4257
708	10337	4242
709	10357	4230
710	10374	4216
711	10393	4204
712	10421	4194
713	10437	4180
714	10455	4167
715	10475	4155
716	10501	4144
717	10532	4136
718	10544	4121
719	10560	4106
720	10573	4091
721	10589	4077
722	10604	4063
723	10619	4048
724	10640	4036
725	10657	4022
726	10677	4009
727	10695	3995
728	10711	3981
729	10725	3966
730	10742	3953
731	10764	3941
